#EXPORTTYPE:                 ,DATA ALL                                                     
#FILE:                       ,PYRO_MDF_30_900_N2_05Kmin_recal_02.ngb-ds3                   
#FORMAT:                     ,NETZSCH5                                                     
#FTYPE:                      ,ANSI                                                         
#IDENTITY:                   ,pyro_30_900_N2_5Kmin_MDF_02                                  
#DECIMAL:                    ,POINT                                                        
#SEPARATOR:                  ,COMMA                                                        
#MTYPE:                      ,DSC                                                          
#INSTRUMENT:                 ,NETZSCH STA 449F3                                            
#PROJECT:                    ,pyroboard                                                    
#DATE/TIME:                  ,06.02.2021 13:33:58 (UTC+1)                                  
#CORR. FILE:                 ,Correction for method PYROBOARD_30_900_N2_5Kmin_Recal_cooling
#TEMPCAL:                    ,06-01-2021 09:45                                             
#SENSITIVITY:                ,06-01-2021 10:08                                             
#LABORATORY:                 ,TUPO                                                         
#OPERATOR:                   ,LH                                                           
#REMARK:                     ,                                                             
#SAMPLE:                     ,pyro_30_900_N2_5Kmin_MDF_02                                  
#SAMPLE MASS /mg:            ,10.2924                                                      
#MATERIAL:                   ,MDF                                                          
#REFERENCE:                  ,-----                                                        
#REFERENCE MASS /mg:         ,0                                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                            
#SAMPLE CRUCIBLE MASS /mg:   ,132.8691                                                     
#REFERENCE CRUCIBLE MASS /mg:,135.12                                                       
#DSC RANGE /µV:              ,5000                                                         
#TG RANGE /mg:               ,35000                                                        
#TAU-R:                      ,---                                                          
#CORR. CODE:                 ,020                                                          
#EXO:                        ,-1                                                           
#RANGE:                      ,30°C/5.0(K/min)/900°C                                        
#SEGMENT:                    ,S2/4                                                         
#SEG. 2:                     ,30°C/5.0(K/min)/900°C                                        

##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
 30.43500,  4.99000, 3.717917e-03, 99.96735,50.00000,20.00000,6.06106
 30.43700,  5.00000, 3.705692e-03, 99.96735,50.00000,20.00000,6.06105
 30.43500,  5.01000, 3.668997e-03, 99.96735,50.00000,20.00000,6.06106
 30.43500,  5.02000, 3.656767e-03, 99.96735,50.00000,20.00000,6.06106
 30.43600,  5.03000, 3.717919e-03, 99.96735,50.00000,20.00000,6.06105
 30.43300,  5.04000, 3.644531e-03, 99.96735,50.00000,20.00000,6.06107
 30.43400,  5.05000, 3.620074e-03, 99.96735,50.00000,20.00000,6.06106
 30.43300,  5.06000, 3.668991e-03, 99.96735,50.00000,20.00000,6.06107
 30.43200,  5.07000, 3.656758e-03, 99.96084,50.00000,20.00000,6.06107
 30.43100,  5.08000, 3.644525e-03, 99.95434,50.00000,20.00000,6.06108
 30.43000,  5.09000, 3.656753e-03, 99.95434,50.00000,20.00000,6.06108
 30.42900,  5.10000, 3.546680e-03, 99.95434,50.00000,20.00000,6.06108
 30.43200,  5.11000, 3.644528e-03, 99.95434,50.00000,20.00000,6.06107
 30.42900,  5.12000, 3.571140e-03, 99.95434,50.00000,20.00000,6.06108
 30.42900,  5.13000, 3.583370e-03, 99.95434,50.00000,20.00000,6.06108
 30.42800,  5.14000, 3.546678e-03, 99.95434,50.00000,20.00000,6.06109
 30.42800,  5.15000, 3.583367e-03, 99.94783,50.00000,20.00000,6.06109
 30.42800,  5.16000, 3.620057e-03, 99.94462,50.00000,20.00000,6.06109
 30.42600,  5.17000, 3.632281e-03, 99.94462,50.00000,20.00000,6.06110
 30.43000,  5.18000, 3.644523e-03, 99.94462,50.00000,20.00000,6.06108
 30.42700,  5.19000, 3.668974e-03, 99.94462,50.00000,20.00000,6.06109
 30.42500,  5.20000, 3.681198e-03, 99.93481,50.00000,20.00000,6.06110
