#EXPORTTYPE:                 ,DATA ALL                                                      
#FILE:                       ,PYRO_MDF_30_900_N2_30Kmin_recal_02.ngb-ds3                    
#FORMAT:                     ,NETZSCH5                                                      
#FTYPE:                      ,ANSI                                                          
#IDENTITY:                   ,pyro_30_900_N2_30Kmin_02                                      
#DECIMAL:                    ,POINT                                                         
#SEPARATOR:                  ,COMMA                                                         
#MTYPE:                      ,DSC                                                           
#INSTRUMENT:                 ,NETZSCH STA 449F3                                             
#PROJECT:                    ,pyroboard                                                     
#DATE/TIME:                  ,19.02.2021 18:19:38 (UTC+1)                                   
#CORR. FILE:                 ,Correction for method PYROBOARD_30_900_N2_30Kmin_Recal_cooling
#TEMPCAL:                    ,06-01-2021 09:50                                              
#SENSITIVITY:                ,06-01-2021 10:22                                              
#LABORATORY:                 ,TUPO                                                          
#OPERATOR:                   ,LH                                                            
#REMARK:                     ,                                                              
#SAMPLE:                     ,pyro_30_900_N2_30Kmin_02                                      
#SAMPLE MASS /mg:            ,10.3487                                                       
#MATERIAL:                   ,MDF                                                           
#REFERENCE:                  ,-----                                                         
#REFERENCE MASS /mg:         ,0                                                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                             
#SAMPLE CRUCIBLE MASS /mg:   ,132.8318                                                      
#REFERENCE CRUCIBLE MASS /mg:,136.50                                                        
#DSC RANGE /µV:              ,5000                                                          
#TG RANGE /mg:               ,35000                                                         
#TAU-R:                      ,---                                                           
#CORR. CODE:                 ,020                                                           
#EXO:                        ,-1                                                            
#RANGE:                      ,30°C/30.0(K/min)/900°C                                        
#SEGMENT:                    ,S2/4                                                          
#SEG. 2:                     ,30°C/30.0(K/min)/900°C                                        

##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
 30.02500, 4.99000, 2.920088e-03, 99.98918,50.00000,20.00000,5.70579
 30.02800, 5.00000, 2.907173e-03, 99.98918,50.00000,20.00000,5.70578
 30.02600, 5.01000, 2.971773e-03, 99.98918,50.00000,20.00000,5.70579
 30.02700, 5.02000, 2.894251e-03, 99.98918,50.00000,20.00000,5.70579
 30.02800, 5.03000, 2.945936e-03, 99.98918,50.00000,20.00000,5.70578
 30.02900, 5.04000, 3.023462e-03, 99.98918,50.00000,20.00000,5.70578
 30.02600, 5.05000, 3.010535e-03, 99.98918,50.00000,20.00000,5.70579
 30.02600, 5.06000, 2.958852e-03, 99.98918,50.00000,20.00000,5.70579
 30.02800, 5.07000, 2.984698e-03, 99.98599,50.00000,20.00000,5.70578
 30.03000, 5.08000, 3.062227e-03, 99.98918,50.00000,20.00000,5.70577
 30.02700, 5.09000, 3.023458e-03, 99.98918,50.00000,20.00000,5.70579
 30.02700, 5.10000, 3.010537e-03, 99.98918,50.00000,20.00000,5.70579
 30.02600, 5.11000, 3.049298e-03, 99.98918,50.00000,20.00000,5.70579
 30.02700, 5.12000, 3.075141e-03, 99.98918,50.00000,20.00000,5.70579
 30.02800, 5.13000, 3.062222e-03, 99.98270,50.00000,20.00000,5.70578
 30.02900, 5.14000, 3.100987e-03, 99.98154,50.00000,20.00000,5.70578
 30.03200, 5.15000, 3.139756e-03, 99.98811,50.00000,20.00000,5.70577
 30.03600, 5.16000, 3.178527e-03, 99.98493,50.00000,20.00000,5.70575
 30.03700, 5.17000, 3.281895e-03, 99.97623,50.00000,20.00000,5.70575
 30.03800, 5.18000, 3.411106e-03, 99.99024,50.00000,20.00000,5.70574
 30.03900, 5.19000, 3.488634e-03, 99.98589,50.00000,20.00000,5.70574
 30.04200, 5.20000, 3.579088e-03, 99.99140,50.00000,20.00000,5.70573
